t x y
0.000000 30.000000 4.000000
0.520833 41.686375 4.070900
1.041667 57.165929 5.665756
1.562500 73.877321 11.539881
2.083333 77.560786 31.014251
2.604167 49.082265 62.361282
3.125000 22.793385 61.728974
3.645833 13.439944 41.076010
4.166667 11.234332 24.322639
4.687500 11.944944 14.216026
5.208333 14.580750 8.639034
5.729167 19.173947 5.700869
6.250000 26.189514 4.294194
6.770833 36.334125 3.935079
7.291667 50.244057 4.752379
7.812500 67.144088 8.217490
8.333333 79.215907 20.367008
8.854167 63.755763 50.499928
9.375000 31.149599 66.786689
9.895833 15.992439 49.814347
10.416667 11.671854 30.392035
10.937500 11.397798 17.723273
11.458333 13.267793 10.542693
11.979167 17.012462 6.687140
12.500000 22.948785 4.736174
13.020833 31.703396 3.966620
13.541667 44.010558 4.227886
14.062500 59.994298 6.247930
14.583333 75.963441 13.524551
15.104167 74.743144 36.354150
15.625000 43.202540 65.136921
16.145833 20.367494 58.424807
16.666667 12.803611 37.690507
17.187500 11.250321 22.185875
17.708333 12.318345 13.028127
18.229167 15.276807 8.014457
18.750000 20.252588 5.396742
19.270833 27.761757 4.189991
19.791667 38.527980 4.008773
20.312500 53.082634 5.131060
20.833333 70.004758 9.496261
21.354167 78.996261 24.484820
21.875000 57.496336 55.998014
22.395833 27.199723 65.004813
22.916667 14.798604 45.928230
23.437500 11.480464 27.639502
23.958333 11.651931 16.137760
24.479167 13.856434 9.693049
25.000000 17.966669 6.257248
