t x y
0.000000 30.000000 4.000000
0.025000 30.246000 3.989000
0.050000 30.494167 3.978594
0.075000 30.744513 3.968784
0.100000 30.997050 3.959569
0.125000 31.251789 3.950950
0.150000 31.508744 3.942929
0.175000 31.767925 3.935506
0.200000 32.029344 3.928684
0.225000 32.293012 3.922465
0.250000 32.558942 3.916850
0.275000 32.827143 3.911841
0.300000 33.097628 3.907443
0.325000 33.370407 3.903657
0.350000 33.645491 3.900487
0.375000 33.922891 3.897937
0.400000 34.202617 3.896010
0.425000 34.484679 3.894711
0.450000 34.769087 3.894044
0.475000 35.055851 3.894013
0.500000 35.344981 3.894625
0.525000 35.636486 3.895885
0.550000 35.930375 3.897797
0.575000 36.226657 3.900370
0.600000 36.525339 3.903608
0.625000 36.826431 3.907520
0.650000 37.129941 3.912112
0.675000 37.435875 3.917392
0.700000 37.744241 3.923369
0.725000 38.055045 3.930050
0.750000 38.368294 3.937445
0.775000 38.683994 3.945563
0.800000 39.002151 3.954414
0.825000 39.322768 3.964009
0.850000 39.645852 3.974357
0.875000 39.971405 3.985471
0.900000 40.299432 3.997362
0.925000 40.629935 4.010042
0.950000 40.962917 4.023525
0.975000 41.298380 4.037823
1.000000 41.636323 4.052951
1.025000 41.976749 4.068923
1.050000 42.319656 4.085755
1.075000 42.665045 4.103462
1.100000 43.012912 4.122060
1.125000 43.363255 4.141567
1.150000 43.716071 4.162001
1.175000 44.071356 4.183381
1.200000 44.429104 4.205724
1.225000 44.789310 4.229052
1.250000 45.151966 4.253386
1.275000 45.517063 4.278746
1.300000 45.884594 4.305156
1.325000 46.254547 4.332638
1.350000 46.626910 4.361218
1.375000 47.001672 4.390920
1.400000 47.378817 4.421770
1.425000 47.758331 4.453796
1.450000 48.140197 4.487026
1.475000 48.524396 4.521489
1.500000 48.910909 4.557216
1.525000 49.299714 4.594238
1.550000 49.690788 4.632587
1.575000 50.084108 4.672299
1.600000 50.479645 4.713407
1.625000 50.877373 4.755950
1.650000 51.277260 4.799964
1.675000 51.679274 4.845489
1.700000 52.083382 4.892565
1.725000 52.489546 4.941236
1.750000 52.897728 4.991545
1.775000 53.307887 5.043538
1.800000 53.719979 5.097262
1.825000 54.133957 5.152766
1.850000 54.549774 5.210101
1.875000 54.967377 5.269320
1.900000 55.386713 5.330477
1.925000 55.807723 5.393629
1.950000 56.230347 5.458835
1.975000 56.654522 5.526156
2.000000 57.080181 5.595655
2.025000 57.507252 5.667397
2.050000 57.935662 5.741451
2.075000 58.365333 5.817887
