t x y
0.000000 30.000000 4.000000
0.025000 30.247083 3.989297
0.050000 30.496345 3.979191
0.075000 30.747796 3.969682
0.100000 31.001449 3.960770
0.125000 31.257315 3.952458
0.150000 31.515407 3.944745
0.175000 31.775736 3.937635
0.200000 32.038313 3.931128
0.225000 32.303151 3.925228
0.250000 32.570260 3.919935
0.275000 32.839651 3.915254
0.300000 33.111335 3.911186
0.325000 33.385324 3.907736
0.350000 33.661627 3.904906
0.375000 33.940256 3.902702
0.400000 34.221220 3.901125
0.425000 34.504529 3.900183
0.450000 34.790194 3.899878
0.475000 35.078223 3.900217
0.500000 35.368627 3.901204
0.525000 35.661413 3.902846
0.550000 35.956592 3.905149
0.575000 36.254171 3.908119
0.600000 36.554158 3.911763
0.625000 36.856561 3.916089
0.650000 37.161388 3.921104
0.675000 37.468646 3.926816
0.700000 37.778341 3.933235
0.725000 38.090480 3.940368
0.750000 38.405068 3.948225
0.775000 38.722111 3.956817
0.800000 39.041614 3.966153
0.825000 39.363582 3.976244
0.850000 39.688017 3.987102
0.875000 40.014924 3.998738
0.900000 40.344306 4.011166
0.925000 40.676164 4.024396
0.950000 41.010500 4.038444
0.975000 41.347315 4.053323
1.000000 41.686609 4.069047
1.025000 42.028382 4.085632
1.050000 42.372633 4.103094
1.075000 42.719359 4.121450
1.100000 43.068558 4.140716
1.125000 43.420226 4.160910
1.150000 43.774358 4.182051
1.175000 44.130950 4.204159
1.200000 44.489993 4.227253
1.225000 44.851482 4.251355
1.250000 45.215407 4.276485
1.275000 45.581759 4.302668
1.300000 45.950527 4.329926
1.325000 46.321699 4.358284
1.350000 46.695262 4.387766
1.375000 47.071200 4.418400
1.400000 47.449499 4.450213
1.425000 47.830140 4.483233
1.450000 48.213106 4.517490
1.475000 48.598374 4.553014
1.500000 48.985925 4.589837
1.525000 49.375733 4.627992
1.550000 49.767773 4.667513
1.575000 50.162018 4.708436
1.600000 50.558440 4.750797
1.625000 50.957006 4.794636
1.650000 51.357683 4.839990
1.675000 51.760437 4.886903
1.700000 52.165230 4.935416
1.725000 52.572021 4.985573
1.750000 52.980769 5.037422
1.775000 53.391429 5.091008
1.800000 53.803953 5.146383
1.825000 54.218292 5.203596
1.850000 54.634391 5.262702
1.875000 55.052196 5.323756
1.900000 55.471647 5.386814
1.925000 55.892683 5.451936
1.950000 56.315237 5.519184
1.975000 56.739241 5.588622
2.000000 57.164623 5.660315
2.025000 57.591307 5.734332
2.050000 58.019212 5.810745
2.075000 58.448255 5.889627
2.100000 58.878347 5.971054
2.125000 59.309396 6.055105
2.150000 59.741306 6.141864
2.175000 60.173974 6.231414
2.200000 60.607295 6.323844
2.225000 61.041158 6.419245
2.250000 61.475445 6.517712
2.275000 61.910035 6.619343
2.300000 62.344802 6.724239
2.325000 62.779611 6.832504
2.350000 63.214324 6.944249
2.375000 63.648796 7.059585
2.400000 64.082876 7.178629
2.425000 64.516405 7.301501
2.450000 64.949219 7.428327
2.475000 65.381146 7.559234
2.500000 65.812008 7.694356
2.525000 66.241617 7.833832
2.550000 66.669779 7.977802
2.575000 67.096293 8.126416
2.600000 67.520948 8.279823
2.625000 67.943526 8.438181
2.650000 68.363800 8.601652
2.675000 68.781533 8.770403
2.700000 69.196480 8.944605
2.725000 69.608387 9.124436
2.750000 70.016989 9.310079
2.775000 70.422014 9.501721
2.800000 70.823176 9.699555
2.825000 71.220182 9.903781
2.850000 71.612728 10.114602
2.875000 72.000497 10.332229
2.900000 72.383165 10.556877
2.925000 72.760394 10.788765
2.950000 73.131837 11.028121
2.975000 73.497133 11.275175
3.000000 73.855914 11.530163
3.025000 74.207795 11.793328
3.050000 74.552385 12.064914
3.075000 74.889278 12.345174
3.100000 75.218057 12.634361
3.125000 75.538296 12.932736
3.150000 75.849553 13.240561
3.175000 76.151380 13.558103
3.200000 76.443315 13.885631
3.225000 76.724885 14.223416
3.250000 76.995607 14.571732
3.275000 77.254989 14.930854
3.300000 77.502529 15.301057
3.325000 77.737713 15.682616
3.350000 77.960023 16.075804
3.375000 78.168930 16.480894
3.400000 78.363898 16.898155
3.425000 78.544385 17.327850
3.450000 78.709845 17.770241
3.475000 78.859724 18.225579
3.500000 78.993470 18.694109
3.525000 79.110523 19.176068
3.550000 79.210328 19.671681
3.575000 79.292327 20.181158
3.600000 79.355965 20.704699
3.625000 79.400694 21.242485
3.650000 79.425967 21.794680
3.675000 79.431249 22.361427
3.700000 79.416014 22.942847
3.725000 79.379748 23.539039
3.750000 79.321949 24.150072
3.775000 79.242136 24.775988
3.800000 79.139844 25.416797
3.825000 79.014631 26.072478
3.850000 78.866079 26.742970
3.875000 78.693797 27.428178
3.900000 78.497426 28.127962
3.925000 78.276635 28.842144
3.950000 78.031133 29.570497
3.975000 77.760664 30.312748
4.000000 77.465015 31.068576
4.025000 77.144014 31.837607
4.050000 76.797538 32.619417
4.075000 76.425510 33.413524
4.100000 76.027905 34.219392
4.125000 75.604751 35.036430
4.150000 75.156132 35.863988
4.175000 74.682188 36.701359
4.200000 74.183116 37.547778
4.225000 73.659176 38.402422
4.250000 73.110686 39.264412
4.275000 72.538025 40.132813
4.300000 71.941637 41.006636
4.325000 71.322023 41.884839
4.350000 70.679748 42.766332
4.375000 70.015436 43.649976
4.400000 69.329772 44.534589
4.425000 68.623495 45.418949
4.450000 67.897402 46.301797
4.475000 67.152342 47.181843
4.500000 66.389215 48.057770
4.525000 65.608966 48.928241
4.550000 64.812586 49.791900
4.575000 64.001103 50.647382
4.600000 63.175584 51.493317
4.625000 62.337124 52.328337
4.650000 61.486845 53.151080
4.675000 60.625894 53.960200
4.700000 59.755431 54.754368
4.725000 58.876631 55.532282
4.750000 57.990673 56.292674
4.775000 57.098742 57.034310
4.800000 56.202016 57.756002
4.825000 55.301668 58.456609
4.850000 54.398858 59.135042
4.875000 53.494727 59.790272
4.900000 52.590398 60.421331
4.925000 51.686965 61.027318
4.950000 50.785494 61.607396
4.975000 49.887020 62.160806
5.000000 48.992538 62.686857
5.025000 48.103008 63.184936
5.050000 47.219346 63.654506
5.075000 46.342424 64.095108
5.100000 45.473072 64.506360
5.125000 44.612069 64.887955
5.150000 43.760148 65.239665
5.175000 42.917993 65.561336
5.200000 42.086238 65.852888
