t x y
0.000000 30.000000 4.000000
0.025000 30.244442 3.989044
0.050000 30.491009 3.978677
0.075000 30.739714 3.968900
0.100000 30.990566 3.959712
0.125000 31.243577 3.951116
0.150000 31.498759 3.943113
0.175000 31.756121 3.935703
0.200000 32.015676 3.928888
0.225000 32.277433 3.922670
0.250000 32.541404 3.917052
0.275000 32.807599 3.912036
0.300000 33.076027 3.907624
0.325000 33.346700 3.903819
0.350000 33.619627 3.900625
0.375000 33.894817 3.898046
0.400000 34.172282 3.896084
0.425000 34.452029 3.894745
0.450000 34.734068 3.894033
0.475000 35.018407 3.893952
0.500000 35.305057 3.894508
0.525000 35.594024 3.895707
0.550000 35.885318 3.897553
0.575000 36.178946 3.900053
0.600000 36.474915 3.903213
0.625000 36.773234 3.907041
0.650000 37.073908 3.911544
0.675000 37.376944 3.916729
0.700000 37.682350 3.922604
0.725000 37.990129 3.929178
0.750000 38.300289 3.936460
0.775000 38.612833 3.944458
0.800000 38.927767 3.953183
0.825000 39.245095 3.962645
0.850000 39.564819 3.972855
0.875000 39.886944 3.983823
0.900000 40.211472 3.995561
0.925000 40.538405 4.008082
0.950000 40.867745 4.021398
0.975000 41.199491 4.035522
1.000000 41.533645 4.050468
1.025000 41.870206 4.066251
1.050000 42.209173 4.082886
1.075000 42.550544 4.100387
1.100000 42.894316 4.118772
1.125000 43.240486 4.138057
1.150000 43.589050 4.158261
1.175000 43.940002 4.179400
1.200000 44.293337 4.201495
1.225000 44.649048 4.224564
1.250000 45.007127 4.248629
1.275000 45.367565 4.273712
1.300000 45.730351 4.299833
1.325000 46.095476 4.327016
1.350000 46.462926 4.355285
1.375000 46.832689 4.384666
1.400000 47.204750 4.415183
1.425000 47.579092 4.446864
1.450000 47.955698 4.479736
1.475000 48.334551 4.513829
1.500000 48.715629 4.549172
1.525000 49.098911 4.585796
1.550000 49.484374 4.623734
1.575000 49.871992 4.663019
1.600000 50.261739 4.703687
1.625000 50.653587 4.745772
1.650000 51.047506 4.789313
1.675000 51.443462 4.834348
1.700000 51.841423 4.880917
1.725000 52.241350 4.929063
1.750000 52.643207 4.978829
1.775000 53.046952 5.030259
1.800000 53.452542 5.083400
1.825000 53.859932 5.138301
1.850000 54.269072 5.195011
1.875000 54.679914 5.253583
1.900000 55.092402 5.314071
1.925000 55.506481 5.376530
1.950000 55.922091 5.441018
1.975000 56.339170 5.507596
2.000000 56.757652 5.576326
2.025000 57.177468 5.647271
2.050000 57.598546 5.720500
2.075000 58.020809 5.796082
2.100000 58.444179 5.874088
2.125000 58.868571 5.954593
2.150000 59.293898 6.037675
2.175000 59.720068 6.123413
2.200000 60.146985 6.211890
